customer_id,customer_name,customer_surname,email,phone,country,city,address,zip_code,birthday,gender
0,Alexander,Madden,stephen89@example.com,(642)507-3434x8999,Lao People's Democratic Republic,North Scottville,20388 Joshua Corner Suite 511,26606,1961-08-26,Female
1,Erica,Nichols,walkerderek@example.org,001-272-751-6708,Spain,Samanthaland,06145 James Extensions,74920,1938-07-21,Prefer Not To Say
2,Kylie,Watson,torresamanda@example.com,+1-558-963-6167x9350,Gibraltar,Dominiquemouth,98453 Wright Pass,11938,1959-05-31,Prefer Not To Say
3,Ashley,Steele,xrichards@example.org,717-303-7663,San Marino,East Mariefort,4694 Gregory Shoal Suite 320,59858,1946-01-04,Other
4,Jeremy,George,austinmedina@example.net,+1-567-614-9923,Reunion,West Jacobton,522 Amanda Center,18460,1948-01-16,Prefer Not To Say
5,Kelly,Henry,ifrench@example.net,+1-447-998-5854,Isle of Man,South Christopher,1929 Claudia Villages Apt. 342,66372,1972-12-08,Prefer Not To Say
6,Lynn,Waters,qbutler@example.org,001-479-706-7106x8999,Dominican Republic,Ethanport,7603 Jason Port Suite 691,60224,1960-12-21,Male
7,Vicki,Miller,vanessagriffin@example.org,615-618-0709,Nigeria,Port Luis,2113 Cameron Bridge Apt. 523,69811,1949-01-12,Male
8,Dominique,Berg,juliebennett@example.org,(905)293-8253,Chad,Hudsonland,87979 Lisa Forges Apt. 374,70255,1952-06-29,Prefer Not To Say
9,Bradley,Clark,sanchezmonica@example.org,733-424-4693x27483,Andorra,Ellisfurt,1122 Hanson Crossroad Apt. 285,49298,1974-01-05,Prefer Not To Say
10,Robert,Mccarty,rkent@example.net,001-327-366-8128,Portugal,Tannermouth,340 Ward Canyon Apt. 292,18142,1984-02-21,Female
11,Stephanie,Williams,grosscynthia@example.com,+1-348-594-6622x07048,Ethiopia,North Caleb,48660 Ryan Street Suite 101,51967,1924-06-15,Other
12,Todd,White,brianwarren@example.net,001-449-917-6674,Tunisia,Thomasview,9748 Garcia Via,51577,1969-02-24,Male
13,Angela,Rodriguez,vwebb@example.net,9779927689,Liechtenstein,Ginaland,66137 Garcia Parkways Suite 852,36550,1993-12-17,Female
14,Lori,Bowman,yshort@example.org,7479785257,Reunion,North Kellymouth,49654 Preston Dale,21514,2005-05-26,Male
15,Chris,Cunningham,holmeslaura@example.net,001-417-757-0257x610,Luxembourg,Michaelton,54719 Ricky Forge Suite 679,62502,1953-11-19,Female
16,Sarah,Elliott,lawrence01@example.net,001-589-782-3810,Reunion,Stephanieshire,59566 Weaver Harbors,28584,2002-03-08,Other
17,Renee,Wilson,lhinton@example.com,575-338-0541,Armenia,Ericachester,68108 Kelly Fork Apt. 923,70642,1976-10-21,Male
18,Jocelyn,Carter,jaime53@example.net,001-627-284-5875x553,Kenya,West Billymouth,438 Morris Plaza,49657,1959-03-03,Male
19,Adam,Martinez,gdavidson@example.org,001-234-694-5453,Martinique,Port Kimberly,908 Cheryl Greens Apt. 830,88540,1957-07-03,Other
20,Diana,Stevens,chadwinters@example.com,958-276-2315,Burkina Faso,Browntown,539 Miller Motorway,04363,1988-07-10,Prefer Not To Say
21,Anthony,Cooper,paulamiller@example.com,001-813-990-6844x4522,Norway,Lake Paul,152 Griffin Shores,39875,1927-02-05,Prefer Not To Say
22,Joyce,Powers,tammylewis@example.com,001-898-982-7996,Cuba,Hayestown,717 Mary Neck Suite 182,99497,1999-07-04,Prefer Not To Say
23,John,Lopez,xreilly@example.org,724.763.7032,Heard Island and McDonald Islands,Singhville,226 Mcmillan Plaza Apt. 098,46574,1983-04-07,Other
24,Jill,Williams,paigeclark@example.org,4513081966,Bahamas,Port Sabrina,666 Thompson Square,14158,1963-06-20,Female
25,Michelle,Burke,kenneth38@example.net,(526)362-4425,Uzbekistan,North Oliviatown,1934 Taylor Mountain,86494,1944-06-10,Male
26,Anna,Rivera,gillespiejonathan@example.net,+1-610-557-5520x119,Guinea,East Gregoryside,01122 James Bypass Apt. 900,13826,1955-06-27,Male
27,Christine,Thomas,michaelphillips@example.net,001-950-775-1073x4398,Saint Helena,East Christine,1600 Samantha Inlet Suite 430,34762,2003-09-09,Prefer Not To Say
28,Jennifer,Hernandez,wpennington@example.com,720-457-7292,Niger,North Thomasstad,1698 Lisa Cove,65825,1996-07-04,Prefer Not To Say
29,Timothy,Holland,mary70@example.org,001-566-558-1299x264,Holy See (Vatican City State),Port Lisa,3192 Roach Row Suite 584,94833,1944-03-28,Male
30,Karen,Howard,thomaswilliams@example.com,600.699.3922x805,Faroe Islands,North Christopher,7066 Norma Track Suite 515,66194,1989-09-08,Male
31,Michael,Burke,andrewhernandez@example.org,828-843-4671x705,Guinea,Morganbury,03228 Murray Valley Suite 733,60421,1931-12-23,Prefer Not To Say
32,Erica,Harris,tcowan@example.net,(872)906-5876,Monaco,Kellyborough,141 Bryant Ridge,25116,1999-05-07,Female
33,Jennifer,Massey,campbellamber@example.com,(714)724-3365x87431,Chile,South Carolstad,6684 Rhonda Oval Suite 410,26627,1987-07-17,Female
34,Robert,Obrien,gjackson@example.org,951-748-2972,Hong Kong,Danielschester,85070 John Plaza,44730,1987-12-30,Other
35,Roy,Craig,tgolden@example.net,854-392-2595,Tunisia,Sandraburgh,745 David Run Apt. 125,85120,1986-01-26,Male
36,James,Baird,scott33@example.net,(939)386-4890x53983,Philippines,Lake Julieland,88820 Jackson Coves Apt. 140,06695,1986-05-17,Male
37,Laura,Ramos,rbeck@example.net,934-270-8391,Eritrea,West Jennifer,053 Hunter Fork Apt. 841,66061,1971-07-13,Female
38,Cole,Ramirez,jimmy85@example.org,628.930.3503,Paraguay,Kelseymouth,9075 Gibson Lane,17234,1995-01-27,Female
39,Monique,Sanchez,barbarajimenez@example.org,550.657.0023x14143,Hong Kong,Kingshire,76757 Rivas Loaf Apt. 500,40937,1980-09-14,Prefer Not To Say
40,Jennifer,Thompson,humphreyjoseph@example.net,(205)945-3636,Dominican Republic,Port Thomas,3966 Marissa Vista Apt. 167,31050,1971-06-30,Female
41,Sierra,Welch,benjamin89@example.com,001-265-732-9059,United Kingdom,Taraland,88216 Patricia Plain Suite 375,12951,1924-04-30,Female
42,Jason,Vasquez,maddenjessica@example.org,+1-702-935-5270,Fiji,West Theresachester,41152 Eddie Dale Apt. 452,86684,1928-03-28,Male
